ID,GPA,SAT,Status
134097,4.0,1470.0,1
134097,3.9,1310.0,1
134097,3.6,1180.0,0.5
134097,3.8,1360.0,1
134097,4.0,1430.0,1
134097,3.3,1240.0,1
134097,4.0,1350.0,1
134097,3.1,1200.0,1
134097,3.0,1200.0,0
134097,3.8,1380.0,0
134097,3.9,1460.0,1
134097,3.5,1310.0,1
134097,3.84,1430.0,1
134097,3.9,1450.0,1
134097,4.0,1550.0,1
134097,3.89,1160.0,1
134097,3.58,1460.0,1
134097,3.66,1120.0,0
134097,4.0,1360.0,1
134097,3.6,1500.0,1
134097,4.0,1510.0,1
134097,2.9,1240.0,0
134097,3.8,1240.0,1
134097,3.5,1300.0,0
134097,3.94,1210.0,1
134097,4.0,1270.0,1
134097,4.0,1520.0,1
134097,4.0,1250.0,1
134097,4.0,1180.0,0
134097,3.3,1130.0,1
134097,3.92,1510.0,1
134097,3.8,1420.0,1
134097,3.6,1300.0,1
134097,3.33,1090.0,0
134097,3.8,1380.0,1
134097,4.0,1170.0,0
134097,4.0,1340.0,1
134097,3.91,1590.0,1
134097,4.0,1500.0,1
134097,3.7,1420.0,1
134097,4.0,1510.0,1
134097,3.58,1340.0,1
134097,3.98,1100.0,1
134097,3.85,1380.0,1
134097,4.0,1290.0,1
134097,3.9,1380.0,1
134097,4.0,1340.0,1
134097,3.6,1340.0,1
134097,4.0,1370.0,1
134097,3.4,1280.0,1
134097,3.9,1340.0,1
134097,3.85,1430.0,1
134097,4.0,1500.0,1
134097,3.9,1510.0,1
134097,3.9,1500.0,1
134097,4.0,1350.0,1
134097,4.0,1500.0,1
134097,3.2,1150.0,0
134097,3.8,1430.0,1
134097,4.0,1300.0,1
134097,3.9,1240.0,1
134097,3.85,1010.0,1
134097,3.85,1410.0,1
134097,3.9,1490.0,1
134097,3.8,1100.0,0
134097,3.3,1280.0,1
134097,3.6,1340.0,1
134097,4.0,1390.0,1
134097,3.7,1240.0,1
134097,3.9,1180.0,1
134097,4.0,1550.0,1
134097,4.0,1500.0,1
134097,3.96,1400.0,1
134097,3.98,1350.0,1
134097,3.75,1540.0,1
134097,3.9,1350.0,1
134097,4.0,1460.0,1
134097,3.6,1300.0,0.5
134097,3.7,1540.0,1
134097,3.9,1150.0,1
134097,3.88,1160.0,0
134097,3.95,1530.0,1
134097,4.0,1380.0,1
134097,3.8,1460.0,1
134097,4.0,1240.0,1
134097,3.5,1540.0,1
134097,3.67,1260.0,1
134097,3.97,1340.0,1
134097,4.0,1390.0,1
134097,3.84,1350.0,1
134097,4.0,1410.0,1
134097,3.8,1390.0,1
134097,3.5,1290.0,0
